AllgridID,longitude,latitude,x,y
16256,1.210683e+02,3.167552e+01,20,124
16257,1.210788e+02,3.167543e+01,21,124
16258,1.210893e+02,3.167534e+01,22,124
16259,1.210999e+02,3.167525e+01,23,124
16260,1.211104e+02,3.167516e+01,24,124
16261,1.211210e+02,3.167507e+01,25,124
16262,1.211315e+02,3.167497e+01,26,124
16263,1.211421e+02,3.167488e+01,27,124
16264,1.211526e+02,3.167479e+01,28,124
16265,1.211631e+02,3.167469e+01,29,124
16266,1.211737e+02,3.167459e+01,30,124
16267,1.211842e+02,3.167450e+01,31,124
16268,1.211948e+02,3.167440e+01,32,124
16269,1.212053e+02,3.167430e+01,33,124
16270,1.212159e+02,3.167420e+01,34,124
16271,1.212264e+02,3.167410e+01,35,124
16272,1.212369e+02,3.167400e+01,36,124
16273,1.212475e+02,3.167389e+01,37,124
16274,1.212580e+02,3.167379e+01,38,124
16275,1.212686e+02,3.167369e+01,39,124
16276,1.212791e+02,3.167358e+01,40,124
16277,1.212897e+02,3.167347e+01,41,124
16278,1.213002e+02,3.167337e+01,42,124
16279,1.213107e+02,3.167326e+01,43,124
16280,1.213213e+02,3.167315e+01,44,124
16281,1.213318e+02,3.167304e+01,45,124
16282,1.213424e+02,3.167293e+01,46,124
16283,1.213529e+02,3.167282e+01,47,124
16284,1.213635e+02,3.167271e+01,48,124
16285,1.213740e+02,3.167259e+01,49,124
16286,1.213845e+02,3.167248e+01,50,124
16287,1.213951e+02,3.167236e+01,51,124
16288,1.214056e+02,3.167225e+01,52,124
16289,1.214162e+02,3.167213e+01,53,124
16290,1.214267e+02,3.167201e+01,54,124
16291,1.214373e+02,3.167190e+01,55,124
16292,1.214478e+02,3.167178e+01,56,124
16293,1.214583e+02,3.167166e+01,57,124
16294,1.214689e+02,3.167154e+01,58,124
16295,1.214794e+02,3.167141e+01,59,124
16296,1.214900e+02,3.167129e+01,60,124
16297,1.215005e+02,3.167117e+01,61,124
16298,1.215110e+02,3.167104e+01,62,124
16299,1.215216e+02,3.167092e+01,63,124
16300,1.215321e+02,3.167079e+01,64,124
16301,1.215427e+02,3.167067e+01,65,124
16302,1.215532e+02,3.167054e+01,66,124
16303,1.215638e+02,3.167041e+01,67,124
16304,1.215743e+02,3.167028e+01,68,124
16305,1.215848e+02,3.167015e+01,69,124
16306,1.215954e+02,3.167002e+01,70,124
16307,1.216059e+02,3.166988e+01,71,124
16308,1.216165e+02,3.166975e+01,72,124
16309,1.216270e+02,3.166962e+01,73,124
16310,1.216375e+02,3.166948e+01,74,124
16311,1.216481e+02,3.166935e+01,75,124
16312,1.216586e+02,3.166921e+01,76,124
16313,1.216692e+02,3.166907e+01,77,124
16314,1.216797e+02,3.166893e+01,78,124
16315,1.216902e+02,3.166880e+01,79,124
16316,1.217008e+02,3.166866e+01,80,124
16317,1.217113e+02,3.166851e+01,81,124
16318,1.217219e+02,3.166837e+01,82,124
16319,1.217324e+02,3.166823e+01,83,124
16320,1.217429e+02,3.166809e+01,84,124
16321,1.217535e+02,3.166794e+01,85,124
