ID,longitude,latitude,KIND,DENSITY
210,121.3612713,30.78897102,0,7.97663E-05
211,121.3717159,30.78886092,0,4.59176E-05
212,121.3821605,30.78874997,0,0.000037026
213,121.392605,30.78863819,0,0.000037026
214,121.4030495,30.78852556,0,0.000037026
215,121.4134939,30.78841209,0,0.000037026
216,121.4239382,30.78829778,0,0.000037026
217,121.4343825,30.78818263,0,0.000037026
218,121.4448267,30.78806667,0,0.000034517
219,121.4552709,30.78794981,0,0.000032008
220,121.4654224,30.78821623,0,0.000032008
221,121.4749983,30.79005636,0,0
222,121.4823719,30.79180658,0,0
223,121.1214327,30.80028798,0,4.72873E-05
224,121.1315812,30.80019848,0,0.000049628
225,121.142028,30.80010685,0,0.000049628
226,121.1524747,30.80001437,0,0.000049628
227,121.1629214,30.79992106,0,0.000049628
228,121.173368,30.79982691,0,0.000049628
229,121.1838146,30.79973191,3,0.000049628
230,121.1942611,30.79963607,0,0.000049628
231,121.2047076,30.79953939,0,0.000049628
232,121.215154,30.79944187,0,4.47348E-05
233,121.2256004,30.79934351,0,4.10466E-05
234,121.2360467,30.7992443,0,4.10466E-05
235,121.246493,30.79914426,3,3.88806E-05
236,121.2569392,30.79904337,0,0.00003685
237,121.2673853,30.79894164,0,0.00003685
238,121.2778314,30.79883907,3,0.00003685
239,121.2882775,30.79873566,3,0.00003685
240,121.2987235,30.7986314,3,0.00003685
241,121.3091695,30.79852631,3,5.49241E-05
242,121.3196153,30.79842037,0,7.97663E-05
243,121.3300612,30.79831359,0,7.97663E-05
244,121.340507,30.79820597,3,7.97663E-05
245,121.3509527,30.79809751,3,7.97663E-05
246,121.3613984,30.79798821,0,7.53182E-05
247,121.371844,30.79787807,3,4.60313E-05
248,121.3822895,30.79776708,3,0.000037026
249,121.392735,30.79765526,3,0.000037026
250,121.4031804,30.79754259,3,0.000037026
251,121.4136258,30.79742908,1,0.000037026
252,121.4240711,30.79731473,3,0.000037026
253,121.4345164,30.79719956,0,3.70041E-05
